"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"482.sphinx3/lmclass.i",1095438,27741985,282723,408642,25568537,0,0,78828244,118578626,2087,23.228115,"O0"
"482.sphinx3/logs3.i",873038,26840991,268109,394336,23237233,0,0,68224140,95052906,1919,20.109727,"O0"
"482.sphinx3/mdef.i",2736463,72580565,612573,1093714,56892587,0,0,167038246,266647182,2812,49.217245,"O0"
"482.sphinx3/new_fe.i",1145258,28900757,283936,382258,26470431,0,0,79470222,123192783,2093,23.416102,"O0"
"482.sphinx3/new_fe_sp.i",2046311,57756514,465183,991111,45435687,0,0,135779272,185232546,2488,40.391011,"O0"
"482.sphinx3/parse_args_file.i",733636,24043522,205257,300090,18794500,0,0,56656898,86204764,1891,16.703807,"O0"
"482.sphinx3/profile.i",717851,21999651,280923,397945,18571993,0,0,58390472,83322947,1747,17.209931,"O0"
"482.sphinx3/spec_main_live_pretend.i",1070965,30027569,273198,353676,23615016,0,0,71625861,117334382,2209,21.107018,"O0"
"482.sphinx3/specrand.i",198343,10406259,,177836,9490895,0,0,13597248,45561487,1195,8.167075,"O0"
"482.sphinx3/str2words.i",450746,16029327,,237708,13898448,0,0,13596931,45479511,1501,11.45693,"O0"
"482.sphinx3/subvq.i",2072082,56698279,404880,828429,48684716,0,0,108627046,205348700,2645,39.100036,"O0"
"482.sphinx3/tmat.i",1105133,28703933,277640,394264,25655135,0,0,76423570,119537639,2125,22.521273,"O0"
"482.sphinx3/unlimit.i",170427,10339728,,154295,9370425,0,0,13597238,45675217,1186,7.738825,"O0"
"482.sphinx3/utt.i",2645841,72701298,657031,844013,56306068,0,0,156829898,274435069,3007,46.198444,"O0"
"482.sphinx3/vector.i",1652144,51417787,354825,967377,41631444,0,0,108626739,168552849,2409,38.303811,"O0"
"482.sphinx3/vithist.i",2391631,66965923,620729,1092745,50716388,0,0,157682236,251751553,2734,46.463434,"O0"
"482.sphinx3/wid.i",939632,28438611,252576,288807,18504748,0,0,66051502,101892274,2065,19.462378,"O0"
"483.xalancbmk/AIXPlatformUtils.ii",,3488811,,53672,3110773,0,0,12368289,14868844,856,3.640626,"O0"
"483.xalancbmk/ASCIIRangeFactory.ii",1903314,50544576,541972,743813,44063724,0,0,108627934,170270421,2970,39.408701,"O0"
"483.xalancbmk/AVT.ii",7229433,188496041,2629334,3778523,166825586,0,0,565264405,723101360,8980,166.537339,"O0"
"483.xalancbmk/AVTPart.ii",258564,12067642,,213553,10928875,0,0,13596505,43065142,1254,10.045827,"O0"
"483.xalancbmk/AVTPartSimple.ii",4305922,122359799,1564181,1976688,100077591,0,0,355601813,436958009,6637,104.783399,"O0"
"483.xalancbmk/AVTPartXPath.ii",5656362,164568049,2265452,2542709,134834634,0,0,485266940,599231708,9231,142.976783,"O0"
"483.xalancbmk/AbstractDOMParser.ii",14939387,352628703,4749687,7279091,288534232,0,0,1004906300,1234839271,12174,296.078614,"O0"
"483.xalancbmk/AbstractNumericFacetValidator.ii",9981127,245670777,2998327,4295315,201365166,0,0,678827464,875105155,9564,203.720311,"O0"
"483.xalancbmk/AbstractNumericValidator.ii",3437009,81370147,1121799,1538051,68925998,0,0,230810197,277586998,4276,70.479014,"O0"
"483.xalancbmk/AbstractStringValidator.ii",9341378,231734321,3191200,4565591,196612749,0,0,678832016,832206138,8855,200.574843,"O0"
"483.xalancbmk/AllContentModel.ii",6039695,153925689,2151527,2988765,127207431,0,0,453444787,548845955,6886,133.605943,"O0"
"483.xalancbmk/AnySimpleTypeDatatypeValidator.ii",2989676,74366162,896327,1449094,66251633,0,0,203666079,279247956,4078,65.652561,"O0"
"483.xalancbmk/AnyURIDatatypeValidator.ii",3300997,80359163,1114188,1534569,67741202,0,0,230808399,277940351,4254,70.220214,"O0"
"483.xalancbmk/AttrImpl.ii",4485978,115297530,1104905,2183131,93774451,0,0,298703832,419305756,4428,91.065623,"O0"
"483.xalancbmk/AttrMapImpl.ii",1933061,51893630,593571,868858,41682318,0,0,135777077,166848899,3038,41.80563,"O0"
"483.xalancbmk/AttrNSImpl.ii",2780235,67072514,772498,1109486,59133756,0,0,185765689,263009721,3524,54.727817,"O0"
