"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"483.xalancbmk/XPathAllocator.ii",10431114,222935971,3406930,6423164,186524463,0,0,705969423,814437646,9651,211.730353,"O2"
"483.xalancbmk/XPathCAPI.ii",11080664,244528233,3433089,5106090,192549518,0,0,705970929,844719395,11663,209.841372,"O2"
"483.xalancbmk/XPathConstructionContext.ii",1850432,48442723,695627,944523,40937553,0,0,150473428,178774289,3455,44.342226,"O2"
"483.xalancbmk/XPathConstructionContextDefault.ii",4902726,120459357,1742835,2362662,102593271,0,0,357075227,453601163,7096,105.219557,"O2"
"483.xalancbmk/XPathEnvSupport.ii",4046541,105321515,1456680,1649662,90061855,0,0,298690581,391232386,6917,89.769229,"O2"
"483.xalancbmk/XPathEnvSupportDefault.ii",26631232,495310932,8826160,13418502,411366650,0,0,1531263847,1811255039,15728,451.156631,"O2"
"483.xalancbmk/XPathEvaluator.ii",14295058,300432537,4419292,6483718,243230808,0,0,868878482,1084014914,14229,263.66313,"O2"
"483.xalancbmk/XPathExecutionContext.ii",2147331,52224160,809715,1004050,44951344,0,0,171496944,224315357,3799,50.539712,"O2"
"483.xalancbmk/XPathExecutionContextDefault.ii",19633655,409731378,5993016,12420079,332766124,0,0,1249002527,1492105745,11897,373.568291,"O2"
"483.xalancbmk/XPathExpression.ii",19345321,403303502,6082172,12479708,326255884,0,0,1249042612,1419644366,12254,375.69113,"O2"
"483.xalancbmk/XPathFactory.ii",433096,14958499,401008,283181,12546234,0,0,40740817,29573324,1481,12.968691,"O2"
"483.xalancbmk/XPathFactoryBlock.ii",5986900,141943278,2177422,2874586,117988933,0,0,420881630,510528922,8573,126.891337,"O2"
"483.xalancbmk/XPathFactoryDefault.ii",7712144,175628055,2857564,4260816,152877228,0,0,558657720,664905746,9236,164.607734,"O2"
"483.xalancbmk/XPathFunctionTable.ii",11592106,220928381,3187386,4711267,184722205,0,0,610949466,826376608,8742,183.529554,"O2"
"483.xalancbmk/XPathInit.ii",6107578,145044780,2081625,2408511,121762916,0,0,393725071,511323567,8820,123.594224,"O2"
"483.xalancbmk/XPathMatcher.ii",13110726,255845182,4041881,7975086,205566032,0,0,773839645,927073743,6933,232.287205,"O2"
"483.xalancbmk/XPathMatcherStack.ii",3735830,80369195,1126303,2579421,65872968,0,0,249728520,296389024,2751,73.591115,"O2"
"483.xalancbmk/XPathParserException.ii",2741309,82048149,1163130,1408273,65607850,0,0,230810582,277087751,5019,68.523962,"O2"
"483.xalancbmk/XPathProcessor.ii",4684436,119131565,1672475,1980439,93401669,0,0,352384692,417679751,7682,103.808663,"O2"
"483.xalancbmk/XPathProcessorImpl.ii",43730877,783066792,12840611,25216867,631666718,0,0,2376532466,2833484989,15379,700.224881,"O2"
"483.xalancbmk/XPathSymbols.ii",184187,6323587,,76557,5364532,0,0,13598080,24650129,943,5.597875,"O2"
"483.xalancbmk/XProtoType.ii",2599438,51766915,683083,1276396,43644304,0,0,152642975,196185969,2815,44.977155,"O2"
"483.xalancbmk/XResultTreeFrag.ii",7061742,167961683,2324532,4047922,136860186,0,0,515905735,583319960,8292,153.643291,"O2"
"483.xalancbmk/XResultTreeFragAllocator.ii",20319612,396748994,5799554,12432975,322520756,0,0,1212458960,1418072295,10922,357.242253,"O2"
"483.xalancbmk/XSAnnotation.ii",7219209,156879966,2288274,3745194,129218407,0,0,482188349,573837413,7181,142.067169,"O2"
"483.xalancbmk/XSAttributeDeclaration.ii",4680661,105899881,1755541,2434369,88437298,0,0,325845692,370743521,5801,99.220687,"O2"
"483.xalancbmk/XSAttributeGroupDefinition.ii",3994650,96204191,1394294,2022694,84164035,0,0,298694983,357228926,5432,88.320071,"O2"
"483.xalancbmk/XSAttributeUse.ii",1070347,24270062,300910,367734,22101529,0,0,77057573,102345187,1918,22.707662,"O2"
"483.xalancbmk/XSComplexTypeDefinition.ii",7227467,164469700,2277381,4743772,136237381,0,0,488748785,586109098,6055,151.98445,"O2"
"483.xalancbmk/XSDDOMParser.ii",17270181,321402907,5212356,8885848,264996608,0,0,963903890,1180376900,9639,284.480617,"O2"
