"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"483.xalancbmk/XalanDocument.ii",538381,15962034,310624,390693,12446094,0,0,40737317,39025913,1396,14.328175,"O2"
"483.xalancbmk/XalanDocumentFragment.ii",520775,15686347,318991,388364,12571048,0,0,40739716,41810868,1370,13.848602,"O2"
"483.xalancbmk/XalanDocumentFragmentNodeRefListBaseProxy.ii",584154,16978566,298835,458178,12491972,0,0,40739266,39319178,1438,15.425128,"O2"
"483.xalancbmk/XalanDocumentPrefixResolver.ii",10075611,215525258,3379637,6192306,179120873,0,0,675298530,824176903,8072,198.968458,"O2"
"483.xalancbmk/XalanDocumentType.ii",526311,15762697,303368,390515,12335169,0,0,40740053,39443295,1398,14.197148,"O2"
"483.xalancbmk/XalanEXSLTCommon.ii",7675890,183754910,2515548,3503942,148562979,0,0,515916023,613945772,9203,154.518138,"O2"
"483.xalancbmk/XalanEXSLTDateTime.ii",5587494,138350821,1840253,2814233,110422570,0,0,393725318,494518018,7631,120.7258,"O2"
"483.xalancbmk/XalanEXSLTDynamic.ii",4853689,126821040,1598019,2280390,104439921,0,0,379621228,469835546,7686,111.848345,"O2"
"483.xalancbmk/XalanEXSLTMath.ii",17974474,356257636,5583474,10953799,304813491,0,0,1133495651,1372768885,10385,333.986431,"O2"
"483.xalancbmk/XalanEXSLTSet.ii",8643865,195392679,2621118,4727079,164308573,0,0,583782650,727102758,8572,174.856575,"O2"
"483.xalancbmk/XalanEXSLTString.ii",18330618,343115343,5187436,8918804,274219398,0,0,963911059,1227279826,9959,290.784485,"O2"
"483.xalancbmk/XalanElemApplyTemplatesAllocator.ii",9405398,214004555,2959848,5783111,170847410,0,0,659950155,759390534,8997,194.449148,"O2"
"483.xalancbmk/XalanElemAttributeAllocator.ii",9222500,209751776,2949014,5666691,169091995,0,0,644015219,727700796,8771,189.759128,"O2"
"483.xalancbmk/XalanElemAttributeSetAllocator.ii",9403203,214307877,2931684,5768461,170397187,0,0,653926164,742634624,8797,192.675012,"O2"
"483.xalancbmk/XalanElemCallTemplateAllocator.ii",9275734,209934908,2945117,5670614,168926375,0,0,644831441,728299209,8793,189.999585,"O2"
"483.xalancbmk/XalanElemElementAllocator.ii",9425305,214016833,2982083,5763005,171108516,0,0,653991943,740192269,8796,192.696841,"O2"
"483.xalancbmk/XalanElemEmptyAllocator.ii",18388650,358085946,5096697,11408856,290415198,0,0,1103663262,1297638533,10054,325.175064,"O2"
"483.xalancbmk/XalanElemLiteralResultAllocator.ii",9250058,210235448,2936711,5670718,169760904,0,0,645828749,730818311,8850,190.293111,"O2"
"483.xalancbmk/XalanElemTemplateAllocator.ii",9416907,212914333,2960847,5758626,169644138,0,0,657448962,747373679,8871,193.708698,"O2"
"483.xalancbmk/XalanElemTextAllocator.ii",17078980,334865813,4785451,10714471,277880514,0,0,1052841351,1254232421,9941,310.209342,"O2"
"483.xalancbmk/XalanElemTextLiteralAllocator.ii",9289874,210685348,2908178,5665131,170210122,0,0,648075747,735572501,8925,190.94322,"O2"
"483.xalancbmk/XalanElemValueOfAllocator.ii",9356407,210023798,2948556,5671256,171231139,0,0,650923306,738869220,8778,191.787069,"O2"
"483.xalancbmk/XalanElemVariableAllocator.ii",9731308,219766738,3065794,5986543,182650363,0,0,678813427,812815005,9502,200.863285,"O2"
"483.xalancbmk/XalanElement.ii",534057,15904223,301152,392983,12378985,0,0,40740672,38893451,1391,14.345742,"O2"
"483.xalancbmk/XalanEmptyNamedNodeMap.ii",857355,21355210,323621,476945,16938697,0,0,66733438,82527045,1443,19.662588,"O2"
"483.xalancbmk/XalanEncodingPropertyCache.ii",2907338,84992156,1209873,1555496,65731104,0,0,230805098,277466543,5060,70.98049,"O2"
"483.xalancbmk/XalanEntity.ii",524456,15730548,311480,391130,12415707,0,0,40743005,40093285,1381,14.097752,"O2"
"483.xalancbmk/XalanEntityReference.ii",522490,15700782,322805,388171,12639146,0,0,40739147,42572768,1374,13.771631,"O2"
"483.xalancbmk/XalanExe.ii",19746345,358499905,6294924,7223012,287337766,0,0,963920773,1278378922,12340,290.720353,"O2"
"483.xalancbmk/XalanExtensions.ii",7089824,171286390,2285772,3334087,141883894,0,0,488752601,613199912,8805,144.091196,"O2"
