"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"433.milc/reunitarize2.i",1223921,36605015,307704,471493,30193872,0,0,83524760,141078802,2156,24.615252,"O0"
"433.milc/s_m_a_mat.i",210177,11443166,,169257,10378044,0,0,13597951,48232414,1237,8.354415,"O0"
"433.milc/s_m_a_vec.i",188797,10893388,,161627,9935424,0,0,13597916,47901959,1218,7.883634,"O0"
"433.milc/s_m_mat.i",193715,11052861,,166139,10055276,0,0,13597805,48467758,1223,7.98832,"O0"
"433.milc/s_m_s_mat.i",215945,11481216,,171388,10405336,0,0,13595503,48545044,1247,8.297651,"O0"
"433.milc/s_m_vec.i",179457,10648730,,159363,9728898,0,0,13597463,46992990,1208,7.761288,"O0"
"433.milc/setup.i",1022764,29430281,264165,387508,24661906,0,0,70840802,110006207,1948,20.876653,"O0"
"433.milc/su3_adjoint.i",196263,11039301,,167911,10040141,0,0,13597745,47798580,1234,8.167449,"O0"
"433.milc/su3_dot.i",215138,12069728,,162621,11027837,0,0,13595117,50214318,1245,8.457038,"O0"
"433.milc/su3_proj.i",215478,11543661,,170076,10468105,0,0,13595858,49056808,1242,8.258746,"O0"
"433.milc/su3_rdot.i",183299,11155428,,154828,10182469,0,0,13596585,48858468,1216,7.926847,"O0"
"433.milc/su3mat_copy.i",191250,10996557,,163598,10003086,0,0,13597048,48249310,1221,7.947365,"O0"
"433.milc/sub4vecs.i",273762,12592673,,167202,11366410,0,0,13596898,50167570,1280,8.800626,"O0"
"433.milc/submat.i",210153,11392127,,167776,10334732,0,0,13597189,48916010,1237,8.192547,"O0"
"433.milc/subvec.i",184761,10821141,,159977,9874995,0,0,13597922,47640054,1215,7.880034,"O0"
"433.milc/trace_su3.i",176124,10792081,,157386,9881078,0,0,13597813,47591681,1203,7.778496,"O0"
"433.milc/uncmp_ahmat.i",198313,11597591,,155395,10637428,0,0,13597667,50080845,1227,8.170684,"O0"
"433.milc/update.i",579570,19715702,307109,258925,14862538,0,0,40748712,42000090,1705,13.765569,"O0"
"433.milc/update_h.i",529638,18501402,484958,220797,14989865,0,0,40745575,41783914,1638,12.694802,"O0"
"433.milc/update_u.i",631769,21143562,268723,257916,14857918,0,0,40753182,41645529,1739,14.34982,"O0"
"444.namd/Compute.ii",820808,25265955,265200,354141,25195729,0,0,80152038,131448954,2070,23.613526,"O0"
"444.namd/ComputeList.ii",902211,36733784,318543,594726,29410399,0,0,97953246,149735400,2210,28.859686,"O0"
"444.namd/ComputeNonbondedUtil.ii",74441438,1892687369,19187073,19615813,1600427378,0,1,3761339699,6932256844,25990,1108.157746,"O0"
"444.namd/LJTable.ii",521845,18249032,270563,324289,13243336,0,0,40741530,34359856,1480,14.563772,"O0"
"444.namd/Molecule.ii",1316366,44196711,401115,941947,41815163,0,0,108639445,177612370,2440,37.808842,"O0"
"444.namd/Patch.ii",1603156,51370132,510317,1050829,44643118,0,0,135781465,178014312,2560,41.627698,"O0"
"444.namd/PatchList.ii",887581,36849509,299655,612103,30932592,0,0,99498534,155766825,2178,29.316523,"O0"
"444.namd/ResultSet.ii",886014,38363997,276962,609708,32459397,0,0,101011200,160796160,2229,29.767867,"O0"
"444.namd/SimParameters.ii",2207150,64242101,604410,1067413,55949837,0,0,164087753,246364995,3015,48.351503,"O0"
"444.namd/erf.ii",157476,9342129,,133377,8727945,0,0,13598523,42119791,1113,7.156443,"O0"
