L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
308538.0,149286.0,266912,11528781,0,0,29566450,54785475,483.xalancbmk/XalanNodeListDummy.ii,1345,15701905,11.924795,O0
408644.0,149693.0,341605,13407894,0,0,44340364,54698260,483.xalancbmk/XalanNodeListSurrogate.ii,1424,17185044,14.114257,O0
381077.0,146293.0,300029,12836874,0,0,44342984,55409144,483.xalancbmk/XalanNotation.ii,1412,16579309,13.262665,O0
3528926.0,1509780.0,1912156,81231881,0,0,357975453,352654159,483.xalancbmk/XalanNullOutputStream.ii,5587,201959592,98.651767,O0
5242625.0,2008891.0,3088893,106607544,0,0,496966799,467363615,483.xalancbmk/XalanNumberFormat.ii,6178,281518474,131.253977,O0
7179391.0,2681632.0,4120960,144595951,0,0,646494648,661181398,483.xalancbmk/XalanNumberingResourceBundle.ii,7235,361332033,172.768241,O0
9902117.0,3521902.0,5919775,185095528,0,0,840921492,866062855,483.xalancbmk/XalanOutputStream.ii,8830,468293578,221.347644,O0
6044190.0,2188550.0,3565152,121555316,0,0,546834935,542160258,483.xalancbmk/XalanOutputStreamPrintWriter.ii,6544,319214400,151.364732,O0
316960.0,119751.0,253907,11917409,0,0,44339150,55651422,483.xalancbmk/XalanParsedSource.ii,1398,16745209,12.276913,O0
5587143.0,2091854.0,3318810,128144739,0,0,536838835,564993321,483.xalancbmk/XalanParsedURI.ii,6512,299356151,143.270965,O0
383047.0,146079.0,298388,12864709,0,0,44338956,55217608,483.xalancbmk/XalanProcessingInstruction.ii,1419,16793250,13.349078,O0
6237134.0,2520057.0,3657177,133390228,0,0,590853818,577401959,483.xalancbmk/XalanQName.ii,7335,334771903,157.519584,O0
3959587.0,1750481.0,2084496,88042629,0,0,423582334,396518579,483.xalancbmk/XalanQNameByReference.ii,6119,250795338,110.9298,O0
7400488.0,2689815.0,4242746,159780160,0,0,666080129,710742939,483.xalancbmk/XalanQNameByValue.ii,7771,369952850,177.924632,O0
7676740.0,2943242.0,4350821,152961724,0,0,688104047,662825425,483.xalancbmk/XalanQNameByValueAllocator.ii,8616,397239162,182.816698,O0
341852.0,159671.0,296079,12136597,0,0,44338279,54682996,483.xalancbmk/XalanReferenceCountedObject.ii,1367,15756709,12.633686,O0
2436437.0,991270.0,1327369,53123487,0,0,223760427,240425036,483.xalancbmk/XalanSimplePrefixResolver.ii,3816,133069408,63.754212,O0
3088809.0,1374754.0,1866579,69229348,0,0,311604277,310018236,483.xalancbmk/XalanSourceTreeAttr.ii,4308,178465221,83.175841,O0
2571743.0,1154194.0,1430069,56567085,0,0,238052068,256658028,483.xalancbmk/XalanSourceTreeAttrNS.ii,3972,134193523,67.701614,O0
6264118.0,2372264.0,3732040,124755445,0,0,557988781,571085402,483.xalancbmk/XalanSourceTreeAttributeAllocator.ii,6913,321160002,151.84174,O0
6269780.0,2426103.0,3753192,124407742,0,0,569865497,568435422,483.xalancbmk/XalanSourceTreeAttributeNSAllocator.ii,6876,317682071,153.426783,O0
9429802.0,3608425.0,4492405,187121838,0,0,839041361,828931323,483.xalancbmk/XalanSourceTreeComment.ii,11849,491217036,218.25604,O0
6359036.0,2434352.0,3766825,125159872,0,0,572916988,572445344,483.xalancbmk/XalanSourceTreeCommentAllocator.ii,6965,320686772,152.702933,O0
13941325.0,5138294.0,7457191,266173794,0,0,1186198189,1191871180,483.xalancbmk/XalanSourceTreeContentHandler.ii,13943,679564236,314.845638,O0
9026583.0,3356417.0,4138421,178413041,0,0,792056517,795983078,483.xalancbmk/XalanSourceTreeDOMSupport.ii,12016,449486206,208.902263,O0
24819006.0,8691083.0,14310251,466333359,0,0,1961176769,2059068960,483.xalancbmk/XalanSourceTreeDocument.ii,17890,1075295479,511.523622,O0
12368145.0,4631195.0,6329606,232121401,0,0,1043423349,1035612737,483.xalancbmk/XalanSourceTreeDocumentAllocator.ii,13174,607172327,274.678823,O0
9376228.0,3547741.0,4295230,182032982,0,0,819596910,784088433,483.xalancbmk/XalanSourceTreeDocumentFragment.ii,11854,472211916,214.833768,O0
12237430.0,4516133.0,6379801,234574235,0,0,1040816482,1015962283,483.xalancbmk/XalanSourceTreeDocumentFragmentAllocator.ii,13132,596772905,271.108584,O0
9294368.0,3454528.0,4419207,182138966,0,0,824137968,820657473,483.xalancbmk/XalanSourceTreeElement.ii,11780,479896783,219.44241,O0
