L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
3293400.0,946760.0,2726916,69786889,0,0,267592479.0,298599802,403.gcc/bitmap.i,2976,124722953,72.172057,Og
16822489.0,3888288.0,11325439,290347678,0,0,1078788401.0,1293296937,403.gcc/builtins.i,6394,499237665,289.457676,Og
2979020.0,777021.0,1595426,59292039,0,0,212853385.0,262609857,403.gcc/c-aux-info.i,3119,99437576,57.697583,Og
22220837.0,5097821.0,12591279,424537706,0,0,1401559504.0,1899103161,403.gcc/c-common.i,8348,606647315,375.989665,Og
997601.0,376395.0,437885,25424765,0,0,98843005.0,122558212,403.gcc/c-convert.i,2431,48197130,26.793639,Og
33213265.0,8243783.0,18379959,535429047,0,0,1884654181.0,2420059835,403.gcc/c-decl.i,9537,813060600,493.609368,Og
876198.0,380885.0,397958,25045533,0,0,96818212.0,124988763,403.gcc/c-errors.i,2579,45517807,26.246058,Og
11930957.0,3105242.0,6510291,193867660,0,0,673733608.0,856735185,403.gcc/c-format.i,5342,285305018,183.01022,Og
1020695.0,414823.0,472393,26068177,0,0,103894789.0,128904373,403.gcc/c-lang.i,2558,51538517,28.167813,Og
6207511.0,1709610.0,3893979,114095414,0,0,418160366.0,518451781,403.gcc/c-lex.i,4533,193931677,113.343594,Og
2478835.0,804658.0,1647918,49382720,0,0,196500979.0,232551174,403.gcc/c-objc-common.i,3288,96513112,53.266806,Og
20656496.0,6657888.0,5563836,341299659,0,0,1027894120.0,1560262585,403.gcc/c-parse.i,8107,412799193,275.782179,Og
2430011.0,694838.0,1334787,43234013,0,0,176012297.0,181866698,403.gcc/c-pragma.i,3213,77022512,47.70772,Og
3684554.0,1230254.0,2867402,77001570,0,0,306956345.0,343732158,403.gcc/c-semantics.i,3622,154420488,83.2019,Og
30935922.0,7507741.0,19538370,542499864,0,0,1910286363.0,2454772820,403.gcc/c-typeck.i,9031,829825036,503.527664,Og
6300554.0,1541383.0,4431274,116290938,0,0,428601777.0,519827911,403.gcc/caller-save.i,3843,198742278,117.700764,Og
22090938.0,5155078.0,11627586,337749764,0,0,1178834113.0,1512366781,403.gcc/calls.i,7034,508261332,318.865866,Og
4257416.0,1199723.0,3390454,89098469,0,0,339927308.0,385310847,403.gcc/cfg.i,3704,173368692,94.633421,Og
5005037.0,1355431.0,4623591,110861568,0,0,428434853.0,504542915,403.gcc/cfganal.i,3628,201963097,116.123476,Og
4063044.0,989929.0,3035250,85930018,0,0,323784288.0,387628931,403.gcc/cfgbuild.i,3622,150591791,87.760193,Og
9457365.0,2281713.0,6167658,159066140,0,0,604394939.0,737339092,403.gcc/cfgcleanup.i,4356,273568884,163.81659,Og
2847616.0,747892.0,1860249,58612289,0,0,221688658.0,267378920,403.gcc/cfglayout.i,3217,107711522,61.125201,Og
4317428.0,1076818.0,3463906,87122161,0,0,325148823.0,395030428,403.gcc/cfgloop.i,3218,155198040,91.110448,Og
9932915.0,2353033.0,7083557,175951305,0,0,661630105.0,789161325,403.gcc/cfgrtl.i,4823,305792907,177.029554,Og
69058527.0,17098364.0,34263054,1080694133,0,0,3631698119.0,4886047984,403.gcc/combine.i,14591,1503197819,940.581684,Og
1020590.0,309915.0,940715,30149298,0,0,114283357.0,127749845,403.gcc/concat.i,1878,56072313,30.978096,Og
2456791.0,773577.0,1810404,51771703,0,0,206642004.0,245274836,403.gcc/conflict.i,2879,96977630,55.700989,Og
2565062.0,688919.0,1396499,48567560,0,0,183271850.0,247137699,403.gcc/convert.i,2907,81740766,49.681178,Og
586591.0,244715.0,222164,12218422,0,0,44339047.0,51337301,403.gcc/cppdefault.i,1639,15386765,13.463437,Og
1826559.0,587436.0,1421248,40023813,0,0,164445580.0,171150114,403.gcc/cpperror.i,2428,78958086,44.582149,Og
4579647.0,1217581.0,2724549,77397257,0,0,295425220.0,373327124,403.gcc/cppexp.i,3200,133116017,80.071745,Og
4478774.0,1106045.0,3575838,84260489,0,0,325139690.0,381588466,403.gcc/cppfiles.i,3021,163620321,91.572277,Og
1040470.0,382486.0,591413,25194338,0,0,104011136.0,117762101,403.gcc/cpphash.i,2215,53959763,28.199164,Og
6207374.0,1564104.0,4169537,114011143,0,0,428603439.0,518531338,403.gcc/cppinit.i,3689,200200077,117.052468,Og
7798523.0,2104726.0,6635372,147852290,0,0,603070644.0,663033654,403.gcc/cpplex.i,4097,296015320,163.458652,Og
6589300.0,1728379.0,6130398,127950655,0,0,532047705.0,586821731,403.gcc/cpplib.i,3571,270813783,145.849511,Og
6836107.0,1753126.0,5617658,125822370,0,0,505925279.0,583680116,403.gcc/cppmacro.i,3550,242698471,135.005768,Og
44893474.0,11790307.0,24686393,701618422,0,0,2448478996.0,3155746388,403.gcc/cse.i,11463,1044185917,636.201134,Og
6581633.0,1806421.0,5702827,126223478,0,0,507711079.0,561389019,403.gcc/cselib.i,3968,244433191,137.616621,Og
10852596.0,2739367.0,6416274,190558972,0,0,665081075.0,844746977,403.gcc/dbxout.i,5166,289696997,182.471425,Og
716290.0,255637.0,394086,16642077,0,0,72763299.0,51863407,403.gcc/debug.i,1968,30386660,19.722022,Og
5837677.0,1558381.0,4651896,120602058,0,0,448455129.0,519735004,403.gcc/dependence.i,4082,214331386,123.020193,Og
18485505.0,4893624.0,16226109,356091127,0,0,1383627102.0,1619425304,403.gcc/df.i,6622,635018844,366.829376,Og
6118389.0,1824093.0,5452879,125563111,0,0,509049522.0,563263005,403.gcc/diagnostic.i,3752,261983045,136.501349,Og
3511876.0,838027.0,1922253,67631684,0,0,236477120.0,312736035,403.gcc/doloop.i,3195,102714727,65.328911,Og
2925601.0,664072.0,2147104,61660741,0,0,221697486.0,281020750,403.gcc/dominance.i,2906,107761823,63.351947,Og
3807786.0,1166102.0,2998905,81222443,0,0,313810555.0,366391282,403.gcc/dwarf2asm.i,3622,149315724,85.062088,Og
44480008.0,11502766.0,31207572,739547580,0,0,2810617784.0,3338502994,403.gcc/dwarf2out.i,12176,1307432516,730.475881,Og
289171.0,,98963,6179955,0,0,14795662.0,29130960,403.gcc/dwarfout.i,1122,12853691,6.7052,Og
19346089.0,5125119.0,16283326,350013497,0,0,1431543024.0,1589167485,403.gcc/emit-rtl.i,7118,698032609,384.903369,Og
12910695.0,3338025.0,10274373,230919643,0,0,937150036.0,1013373490,403.gcc/except.i,5713,468750033,245.563847,Og
6159369.0,1495050.0,4431380,110943154,0,0,431935594.0,490212396,403.gcc/explow.i,4133,216334874,118.611993,Og
27824511.0,6692877.0,14179082,432942762,0,0,1464002741.0,1968352131,403.gcc/expmed.i,8137,613989343,395.367143,Og
54751882.0,14777954.0,27157594,855749261,0,0,2951547773.0,3856269594,403.gcc/expr.i,14464,1271109069,771.762058,Og
1743326.0,584776.0,1679611,36710374,0,0,167817489.0,150092722,403.gcc/fibheap.i,2056,84881016,45.492639,Og
10735252.0,2689173.0,7859299,197835129,0,0,752357776.0,902428259,403.gcc/final.i,5308,350957241,201.627878,Og
15408502.0,3991370.0,11843929,266957677,0,0,1038233152.0,1236146405,403.gcc/flow.i,6013,470143455,277.256692,Og
43103062.0,12282927.0,21119466,715852472,0,0,2411262551.0,3241345814,403.gcc/fold-const.i,13025,1027559132,626.815121,Og
32423108.0,8131636.0,22599463,559833956,0,0,2060344665.0,2520236912,403.gcc/function.i,9314,927575987,535.20464,Og
