"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"401.bzip2/bzlib.i",2066109,783600,1380410,55357048,1,0,223821574,270188195,2424,120038077,61.316211,"O0"
"401.bzip2/compress.i",1581668,507842,953429,45716896,1,0,165982290,203740918,2424,74847469,45.93769,"O0"
"401.bzip2/crctable.i",453147,167045,284417,13287467,1,0,38461847,51655419,1331,14336747,15.681166,"O0"
"401.bzip2/decompress.i",2000185,734799,983384,52347396,1,0,195572143,257697889,2798,94503420,54.252832,"O0"
"401.bzip2/huffman.i",621382,226537,423737,16865411,1,0,71043847,86618551,1545,37744897,20.933867,"O0"
"401.bzip2/randtable.i",458416,169808,300739,13479968,1,0,37871193,51067881,1337,14455067,15.949826,"O0"
"401.bzip2/spec.i",789357,327007,618133,25696990,1,0,107831326,122820555,1703,59109739,30.768235,"O0"
"403.gcc/alias.i",3432582,1265810,2320665,88466997,1,0,398542456,426535103,3490,226353355,106.373504,"O0"
"403.gcc/alloca.i",507430,165829,363783,16502015,1,0,70530848,89165085,1505,37603199,21.080269,"O0"
"403.gcc/asprintf.i",420064,197647,270685,10578616,1,0,22964983,49203114,1339,14517169,11.623353,"O0"
"403.gcc/attribs.i",1836956,722268,1390322,54468719,1,0,250302442,276596523,2640,131127836,68.659952,"O0"
"403.gcc/bb-reorder.i",999185,320671,729534,31944544,1,0,142121194,153699387,2087,75592199,41.310027,"O0"
"403.gcc/bitmap.i",1320373,485362,1022169,34820624,1,0,169835543,149909560,2148,93119832,47.855515,"O0"
"403.gcc/builtins.i",4193841,1626247,3090911,113387305,1,0,488060231,493356596,4152,268715457,130.100543,"O0"
"403.gcc/c-aux-info.i",1217325,407683,916411,34395059,1,0,162435798,150013390,2169,92712662,45.988922,"O0"
"403.gcc/c-common.i",6305913,2591430,3732113,162134165,1,0,676227401,776979643,5794,357473347,180.559928,"O0"
"403.gcc/c-convert.i",702642,196647,559746,26982557,1,0,112370776,130970883,1818,64566897,32.898547,"O0"
"403.gcc/c-decl.i",7200514,2935957,4470471,172086730,1,0,752765984,830148810,5245,400957791,196.352067,"O0"
"403.gcc/c-errors.i",739283,207325,586135,25655380,1,0,115431196,126039735,1890,73532929,33.850071,"O0"
"403.gcc/c-format.i",2521944,911976,1715275,72468285,1,0,315716286,369011979,3041,160095385,84.277288,"O0"
"403.gcc/c-lang.i",829219,225508,633355,28444478,1,0,118744164,138973418,1931,72558342,36.220605,"O0"
"403.gcc/c-lex.i",1656158,653954,1295763,52707765,1,0,230175238,262526642,2749,128267664,67.262913,"O0"
"403.gcc/c-objc-common.i",1264956,484747,946149,35126380,1,0,182518463,193838179,2359,105153228,50.977313,"O0"
"403.gcc/c-parse.i",3867832,1285111,1942904,127084096,1,0,429884879,584431635,4446,219522539,119.170604,"O0"
"403.gcc/c-pragma.i",1181138,426108,888666,34828921,1,0,173140741,174269509,2244,104282666,48.935981,"O0"
"403.gcc/c-semantics.i",1437956,635961,1060863,46807622,1,0,221635691,231154364,2540,120345298,60.386739,"O0"
"403.gcc/c-typeck.i",7151948,2923709,4481233,180314706,1,0,752666814,851404957,5346,405144392,201.913617,"O0"
"403.gcc/caller-save.i",1706228,586041,1115638,50339122,1,0,220482255,246555865,2509,120091442,61.036031,"O0"
"403.gcc/calls.i",3903338,1572544,2689373,107780739,1,0,448117076,523774336,3752,233735366,122.048555,"O0"
"403.gcc/cfg.i",1590570,621405,1188963,51330572,1,0,230190975,251235786,2577,126777974,64.421272,"O0"
"403.gcc/cfganal.i",1691566,607623,1229758,48859975,1,0,215330471,239691094,2446,121517558,61.676612,"O0"
"403.gcc/cfgbuild.i",1587905,556821,1044420,47143013,1,1,214219746,228959058,2501,119819334,58.301591,"O0"
"403.gcc/cfgcleanup.i",2324700,828941,1730312,60412278,1,0,280960326,303441473,2773,155498724,78.12777,"O0"
"403.gcc/cfglayout.i",1361844,476795,954214,35279990,1,0,183519605,197762111,2327,104546623,51.739724,"O0"
"403.gcc/cfgloop.i",1437753,530037,1056346,37033056,1,0,182700617,196627550,2165,107514652,51.439209,"O0"
"403.gcc/cfgrtl.i",2818174,1068658,1970781,76802833,1,0,328175262,372706365,3188,184789922,90.75356,"O0"
"403.gcc/combine.i",13761411,5004988,7161971,328457004,1,0,1330878101,1571453406,7653,685966984,349.315848,"O0"
"403.gcc/concat.i",605718,226165,434387,19982673,1,0,84131630,101572321,1569,46381977,24.652602,"O0"
"403.gcc/conflict.i",1140713,382674,915446,35160129,1,0,141169416,151691236,2061,76428516,43.368376,"O0"
"403.gcc/convert.i",1083686,339386,821806,33948370,1,0,141858423,160668893,2010,73656290,41.326659,"O0"
"403.gcc/cppdefault.i",537309,180377,312846,16714125,1,0,81229963,96360001,1497,46087758,23.952281,"O0"
"403.gcc/cpperror.i",902569,318881,796330,31196907,1,0,127031241,148366930,1837,72526530,37.975131,"O0"
"403.gcc/cppexp.i",1355560,484594,1047634,36450150,1,0,168419666,158112481,2117,89338703,47.447359,"O0"
"403.gcc/cppfiles.i",1475039,589252,1232149,40517773,1,0,189152297,208157349,2212,107904334,53.075313,"O0"
"403.gcc/cpphash.i",581902,208581,548297,26531892,1,0,111773815,127298392,1776,63332862,31.966423,"O0"
"403.gcc/cppinit.i",1858055,758391,1386661,56734689,1,0,232997762,268033567,2542,128802636,66.719031,"O0"
"403.gcc/cpplex.i",2295729,928008,1811499,61892253,1,0,282039520,304931224,2787,155430742,77.935277,"O0"
"403.gcc/cpplib.i",2070260,834033,1544266,56743655,1,1,250019152,262711941,2591,136037720,69.225826,"O0"
"403.gcc/cppmacro.i",1854690,688758,1401485,53990534,1,0,219236233,256114248,2477,127888764,63.849872,"O0"
"403.gcc/cse.i",8544392,3115683,4864531,215081997,1,0,863850454,1028386894,5828,449840040,232.539805,"O0"
"403.gcc/cselib.i",2102608,803369,1642993,57576847,1,0,265258000,264178133,2722,143748166,73.839514,"O0"
"403.gcc/dbxout.i",2994441,1145717,1986605,80357705,1,0,333725817,396745442,3169,178864733,96.095821,"O0"
"403.gcc/debug.i",528557,216576,363930,21085300,1,0,88033603,101476847,1589,50701682,25.8003,"O0"
"403.gcc/dependence.i",1799224,673338,1417146,55910484,1,1,244919668,276143881,2652,125027115,69.52242,"O0"
"403.gcc/df.i",4662993,1867526,3347089,123061313,1,0,534324021,591061041,4204,280697250,144.38812,"O0"
"403.gcc/diagnostic.i",2112894,909987,1754189,57952488,1,0,250442496,249672084,2584,136950115,71.760443,"O0"
"403.gcc/doloop.i",1410118,474971,966139,36736473,1,0,179560170,194778167,2310,105353110,50.606619,"O0"
"403.gcc/dominance.i",1121145,366361,821189,34812717,1,0,141903822,155181927,1965,74645055,42.772208,"O0"
"403.gcc/dwarf2asm.i",1591682,601243,1186140,47300561,1,0,215430873,234105287,2394,121384884,61.103707,"O0"
"403.gcc/dwarf2out.i",9177167,3911833,6319414,222463395,1,0,983150721,1045228603,6324,542924671,262.554352,"O0"
"403.gcc/dwarfout.i",375174,103645,241172,12799169,1,0,38339071,52788343,1274,14440410,15.098758,"O0"
"403.gcc/emit-rtl.i",5529327,2414852,4063447,133854170,1,0,631039282,659577327,5136,352255017,167.730058,"O0"
"403.gcc/except.i",3731109,1471121,2683367,96248128,1,0,433667635,458206091,3883,247663507,118.993166,"O0"
"403.gcc/explow.i",2032520,786458,1600455,58553404,1,0,268059012,258712476,2820,147994868,74.740234,"O0"
"403.gcc/expmed.i",5150196,1982345,3032705,129261320,1,0,543376688,625133152,4397,286716249,145.071639,"O0"
