L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
7110946,3010201,5074954,156530824,1,0,889333719.0,739636432,471.omnetpp/MACRelayUnitPP.ii,4894,563531777,237.59975,Ofast
4228435,1846415,2660199,97934278,1,0,576343902.0,468649665,471.omnetpp/MACRelayUnitPP_n.ii,4336,362144270,156.40108,Ofast
4281434,1842479,2669905,98209395,1,0,577588999.0,467215484,471.omnetpp/MACRelayUnit_n.ii,4323,374726501,155.977996,Ofast
38039116,14858357,18285640,640876040,1,0,2663211022.0,3047842026,471.omnetpp/Networks_n.ii,10064,1369346269,691.058707,Ofast
4173962,1852100,2533781,96034699,1,0,570356657.0,470512418,471.omnetpp/eth-index_n.ii,4306,359998774,153.797902,Ofast
6907795,2811398,5113074,150389718,1,0,818059665.0,698549385,471.omnetpp/libs_cmdenv_cmdenv.ii,4514,497876238,215.542783,Ofast
694527,313325,624886,22790547,1,0,93840707.0,106191571,471.omnetpp/libs_cmdenv_enumstr.ii,1689,52165317,27.547255,Ofast
670550,340408,560354,20892392,1,0,91904191.0,100907711,471.omnetpp/libs_cmdenv_heap.ii,1684,53340537,27.078447,Ofast
409690,198145,247889,10380019,1,0,22929951.0,47633442,471.omnetpp/libs_envir_akoutvectormgr.ii,1248,13981177,10.125013,Ofast
808776,292547,702825,25238180,1,0,111430112.0,116613976,471.omnetpp/libs_envir_args.ii,1832,70019777,33.437617,Ofast
6800001,2819142,4971809,144978072,1,0,786066036.0,672402881,471.omnetpp/libs_envir_cenvir.ii,4657,484731171,211.865442,Ofast
6871779,2766307,5502370,152690538,1,0,810342936.0,711060101,471.omnetpp/libs_envir_cinifile.ii,4306,486682250,213.623969,Ofast
6630698,2968084,5376487,148587307,1,0,844088022.0,721324442,471.omnetpp/libs_envir_filemgrs.ii,4531,527640275,221.062912,Ofast
3947153,1674609,2341489,82016541,1,0,517260599.0,433904820,471.omnetpp/libs_envir_main.ii,4160,326389181,136.353906,Ofast
6748718,2848409,5230783,154129545,1,0,834007918.0,739884124,471.omnetpp/libs_envir_omnetapp.ii,4660,509340029,219.592629,Ofast
1125935,428638,1061475,32359272,1,0,140938404.0,148701776,471.omnetpp/libs_envir_patmatch.ii,1877,71587239,41.395951,Ofast
3650165,1542594,2223320,84150025,1,0,467998141.0,397310389,471.omnetpp/libs_envir_platdep.ii,3761,292555405,127.723157,Ofast
3748230,1617214,2248041,80229858,1,0,485697155.0,395370375,471.omnetpp/libs_envir_seeds.ii,3957,306159154,130.459631,Ofast
5599782,2384964,3964795,122559762,1,0,681344334.0,589084867,471.omnetpp/libs_envir_slaveapp.ii,4487,418131473,181.509125,Ofast
719812,303539,512648,22303702,1,0,101053024.0,106716181,471.omnetpp/libs_envir_speedmtr.ii,1778,59125669,29.505966,Ofast
7494815,3205259,6892144,172839620,1,0,943995308.0,825861985,471.omnetpp/libs_sim_carray.ii,4092,565794400,248.642939,Ofast
6497015,2787910,5256550,144097153,1,0,793727619.0,690573521,471.omnetpp/libs_sim_cchannel.ii,4532,480001702,210.144937,Ofast
720879,308603,587069,23407828,1,0,106468706.0,110084960,471.omnetpp/libs_sim_ccoroutine.ii,1780,62495872,30.864216,Ofast
5471813,2312501,4310194,126691089,1,0,684246697.0,598303802,471.omnetpp/libs_sim_cdensity.ii,4002,409191993,181.799534,Ofast
5296318,2162070,3797523,119548267,1,0,657973130.0,579975138,471.omnetpp/libs_sim_cdetect.ii,4255,408671523,173.734126,Ofast
5714859,2368376,4863153,128900885,1,0,717919858.0,644058885,471.omnetpp/libs_sim_cdispstr.ii,4197,432015486,190.884528,Ofast
4898435,2057883,3829344,118193096,1,0,646741227.0,568563429,471.omnetpp/libs_sim_cenum.ii,3970,398329402,172.861076,Ofast
4851457,1986735,3336014,106530913,1,0,615914025.0,520557237,471.omnetpp/libs_sim_cexception.ii,4142,395371556,162.90784,Ofast
4012547,1667879,2601509,92573895,1,0,538478203.0,453295902,471.omnetpp/libs_sim_cfsm.ii,3800,342620936,143.344981,Ofast
6834727,2988158,5474008,154009756,1,0,856059742.0,734342168,471.omnetpp/libs_sim_cgate.ii,4535,523107430,224.41058,Ofast
4383201,1780621,2866718,97178438,1,0,544465120.0,470044006,471.omnetpp/libs_sim_chead.ii,3845,354872867,146.920665,Ofast
6726524,2836527,5627239,149511599,1,0,827953976.0,698358927,471.omnetpp/libs_sim_chist.ii,4416,495108949,216.557031,Ofast
8369541,3391673,7591527,195624085,1,0,1031119643.0,919519360,471.omnetpp/libs_sim_cksplit.ii,4387,606776869,271.922843,Ofast
5370864,2215478,3911918,119436450,1,0,665262047.0,567214992,471.omnetpp/libs_sim_cllist.ii,3868,416668989,181.179195,Ofast
6472845,2644834,4866695,140673826,1,0,812930346.0,657628636,471.omnetpp/libs_sim_cmessage.ii,4300,498972749,216.311475,Ofast
16264224,6860899,16032690,359090345,1,0,1825605983.0,1667616652,471.omnetpp/libs_sim_cmodule.ii,5065,1062283941,477.617247,Ofast
5611336,2311473,4603719,128055273,1,0,723957103.0,602855734,471.omnetpp/libs_sim_cmsgheap.ii,4179,434614476,188.304396,Ofast
4335153,1880069,2917986,98207905,1,0,562500231.0,493000674,471.omnetpp/libs_sim_cnetmod.ii,4226,354895948,151.659306,Ofast
5116160,2111715,3726517,120376593,1,0,650437117.0,574526075,471.omnetpp/libs_sim_cobject.ii,3954,414780976,175.796736,Ofast
4697658,2024617,3446001,105566992,1,0,611250495.0,527169539,471.omnetpp/libs_sim_coutvect.ii,4260,384285338,162.155179,Ofast
3868724,1657930,2479033,91036751,1,0,538652145.0,458350154,471.omnetpp/libs_sim_cpacket.ii,4111,342548023,143.446496,Ofast
12527996,5236986,10589752,281006619,1,0,1398067903.0,1303986952,471.omnetpp/libs_sim_cpar.ii,4978,814181742,363.169537,Ofast
6071169,2519537,4919239,141472951,1,0,763046844.0,682228351,471.omnetpp/libs_sim_cpsquare.ii,4213,465969649,201.321554,Ofast
5569794,2391160,4472846,125625001,1,0,683761928.0,592770157,471.omnetpp/libs_sim_cqueue.ii,3941,411819934,183.305918,Ofast
7323240,3063260,6053972,169573521,1,0,889249326.0,790660871,471.omnetpp/libs_sim_csimul.ii,4650,529578138,239.878325,Ofast
5724000,2481391,4508961,130540827,1,1,728841868.0,633584804,471.omnetpp/libs_sim_cstat.ii,4051,450544866,192.211364,Ofast
4202373,1788834,2888207,94970235,1,0,541649764.0,480722313,471.omnetpp/libs_sim_cstruct.ii,3928,350125979,147.657179,Ofast
5920386,2489368,4782898,141915632,1,0,758853735.0,670752711,471.omnetpp/libs_sim_ctopo.ii,4206,465940929,201.647111,Ofast
8843355,3646746,7264138,189971935,1,0,1023610648.0,861872137,471.omnetpp/libs_sim_ctypes.ii,4690,635806108,268.717375,Ofast
6537281,2673571,5512864,150418795,1,0,792834237.0,705330852,471.omnetpp/libs_sim_cvarhist.ii,4250,470026284,212.418724,Ofast
4097369,1780274,2601614,91886326,1,0,528643306.0,455064367,471.omnetpp/libs_sim_cwatch.ii,4050,333869684,140.613356,Ofast
8190777,3618648,6797721,185382002,1,0,961073392.0,872772557,471.omnetpp/libs_sim_distrib.ii,4419,571171078,249.210302,Ofast
416509,179212,243910,11176201,1,0,23026397.0,51110404,471.omnetpp/libs_sim_errmsg.ii,1317,14067139,10.892165,Ofast
623231,313453,407868,20314483,1,0,90955718.0,97838287,471.omnetpp/libs_sim_onstartup.ii,1773,53185105,26.707558,Ofast
4539952,1789199,3053334,98948895,1,0,562962585.0,487956412,471.omnetpp/libs_sim_random.ii,3856,358567983,151.185657,Ofast
6120271,2573152,3828630,129048242,1,0,736830717.0,633429220,471.omnetpp/libs_sim_std_netpack.ii,4459,459626910,192.522676,Ofast
1012154,339941,1040076,26786113,1,0,112157879.0,125072368,471.omnetpp/libs_sim_task.ii,1674,67287741,34.309131,Ofast
7055162,2856796,5491822,156142023,1,0,859736014.0,740113863,471.omnetpp/libs_sim_util.ii,4695,539696847,228.050695,Ofast
